# Curated platform-default nutrition mappings, reviewed from
# scripts/seed-nutrition-mappings.ts proposals against the production
# corpus (2026-06-08). Columns: key, corpus_count, source, source_id,
# data_type, description. Only confidently-correct generic staples are
# included; ambiguous / compound / no-good-generic ingredients (garam
# masala, chipotle in adobo, cardamom pods, bone-in chicken breasts, …)
# are intentionally left out so the live v2 matcher handles them.
# Regenerate proposals: deno run … scripts/seed-nutrition-mappings.ts
# Emit migration body: … scripts/seed-nutrition-mappings.ts --emit-sql THIS_FILE
minced fresh ginger	8	USDA_FDC	169231	SR Legacy	Ginger root, raw
minced fresh thyme	10	USDA_FDC	173470	SR Legacy	Thyme, fresh
celery	6	USDA_FDC	169988	SR Legacy	Celery, raw
tomato paste	29	USDA_FDC	170459	SR Legacy	Tomato products, canned, paste, without salt added
lime juice	14	USDA_FDC	168156	SR Legacy	Lime juice, raw
lemon juice	12	USDA_FDC	167747	SR Legacy	Lemon juice, raw
orange juice	6	USDA_FDC	169098	SR Legacy	Orange juice, raw
raisins	6	USDA_FDC	2709212	Survey (FNDDS)	Raisins
large eggs	10	USDA_FDC	171287	SR Legacy	Egg, whole, raw, fresh
eggs	7	USDA_FDC	171287	SR Legacy	Egg, whole, raw, fresh
water	55	USDA_FDC	173647	SR Legacy	Beverages, water, tap, drinking
filtered water	7	USDA_FDC	173647	SR Legacy	Beverages, water, tap, drinking
